university_id,university_name,city_name
1064,Санкт-Петербургский университет технологий управления и экономики,Санкт-Петербург
1069,Балтийский государственный технический университет «ВОЕНМЕХ» имени Д. Ф. Устинова,Санкт-Петербург
1082,Государственный университет морского и речного флота имени адмирала С. О. Макарова,Санкт-Петербург
1085,Санкт-Петербургский государственный аграрный университет,Санкт-Петербург
1092,Санкт-Петербургский государственный университет ветеринарной медицины,Санкт-Петербург
1094,Балтийская академия туризма и предпринимательства,Санкт-Петербург
1108,Санкт-Петербургский государственный архитектурно-строительный университет,Санкт-Петербург
1116,Санкт-Петербургская академия художеств имени Ильи Репина,Санкт-Петербург
1122,Ленинградский государственный университет имени А. С. Пушкина,Санкт-Петербург
1147,Российский государственный педагогический университет имени А. И. Герцена,Санкт-Петербург
1172,Санкт-Петербургский государственный институт культуры,Санкт-Петербург
1174,Санкт-Петербургский государственный экономический университет,Санкт-Петербург
1189,Национальный исследовательский университет ИТМО,Санкт-Петербург
1210,Санкт-Петербургский государственный лесотехнический университет им. С.М. Кирова,Санкт-Петербург
1217,Санкт-Петербургский государственный институт кино и телевидения,Санкт-Петербург
1226,Санкт-Петербургская государственная художественно-промышленная академия им. А. Л. Штиглица,Санкт-Петербург
1230,Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянов..,Санкт-Петербург
1262,Академия русского балета им. А. Я. Вагановой,Санкт-Петербург
1265,Высшая школа народных искусств (Академия),Санкт-Петербург
1268,Санкт-Петербургский государственный химико-фармацевтический университет,Санкт-Петербург
1271,Санкт-Петербургский политехнический университет Петра Великого,Санкт-Петербург
1286,Санкт-Петербургский Гуманитарный университет профсоюзов,Санкт-Петербург
1293,Северо-Западный государственный медицинский университет им. И. И. Мечникова,Санкт-Петербург
1297,Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А.Бонч-Бруевича,Санкт-Петербург
1308,Первый Санкт-Петербургский государственный медицинский университет имени академика И. П. П..,Санкт-Петербург
1313,Санкт-Петербургский государственный университет аэрокосмического приборостроения,Санкт-Петербург
1332,Санкт-Петербургский государственный институт психологии и социальной работы,Санкт-Петербург
1335,Санкт-Петербургский государственный университет гражданской авиации,Санкт-Петербург
1341,Санкт-Петербургский национальный исследовательский Академический университет имени Ж.И. Ал..,Санкт-Петербург
1342,Санкт-Петербургский государственный университет промышленных технологий и дизайна,Санкт-Петербург
